"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"9928","https://www.proff.dk/firma/chemistrypharma-consult/kgs.-lyngby/tekniske-konsulenter/0NKP7MI01OU/","Technical Consultants","ChemistryPharma Consult",NA,0,0,NA,"Gyrithe Lemches Vej 5, 2800 Kgs. Lyngby"
"9984","https://www.proff.dk/firma/haltrup-pharma-consulting/bagsv%C3%A6rd/tekniske-konsulenter/0NR70LI01OU/","Technical Consultants","Haltrup Pharma Consulting",NA,0,0,NA,"Højgårds Vænge 16, 2880 Bagsværd"
"9994","https://www.proff.dk/firma/qapharma/s%C3%B8nderborg/tekniske-konsulenter/0NRL3MI01OU/","Technical Consultants","QAPharma",NA,0,0,NA,"Arnkilgade 56, 6400 Sønderborg"
"464","https://www.proff.dk/firma/chembo-production-ltd.-aps/kvistg%C3%A5rd/tekniske-konsulenter/0VZIEQI01OU/","Technical Consultants","CHEMBO PRODUCTION LTD. ApS",1975,12,2001000,899000,"Oldenvej 13-15 A, 3490 Kvistgård"
"1563","https://www.proff.dk/firma/chemistry-consulting-aps/holte/tekniske-konsulenter/0KRL78I01OU/","Technical Consultants","CHEMISTRY CONSULTING ApS",2012,1,42000,-28000,"Øverødvej 68 B, 2840 Holte"
"1913","https://www.proff.dk/firma/innochem-aps/kgs.-lyngby/tekniske-konsulenter/0L2JKQI01OU/","Technical Consultants","INNOCHEM ApS",2013,NA,-35000,-35000,"Kemitorvet 207, 2800 Kgs. Lyngby"
"2267","https://www.proff.dk/firma/chembo-production-ltd.-aps/kvistg%C3%A5rd/tekniske-konsulenter/GKEETNI01OU/","Technical Consultants","Chembo Production Ltd. ApS",1971,12,2001000,899000,"Oldenvej 13A-15, 3490 Kvistgård"
"2553","https://www.proff.dk/firma/innochem-aps/kongens-lyngby/tekniske-konsulenter/GUG7YWI01OU/","Technical Consultants","Innochem ApS",2013,NA,-35000,-35000,"Kemitorvet 207, 2800 Kongens Lyngby"
"2638","https://www.proff.dk/firma/chemtox-consult/aarhus-c/tekniske-konsulenter/GVS42YI01OU/","Technical Consultants","Chemtox Consult",NA,0,0,NA,"Mejlgade 105, 4., 8000 Aarhus C"
"27521","https://www.proff.dk/firma/chemistrypharma-consult/kongens-lyngby/tekniske-konsulenter/GXGH94I01OU/","Technical Consultants","Chemistrypharma Consult",NA,0,0,NA,"Gyrithe Lemches Vej 5, 2800 Kongens Lyngby"
"4173","https://www.proff.dk/firma/chemadvise-vseyed-javadi/valby/tekniske-konsulenter/0JMKL2I01OU/","Technical Consultants","ChemAdvise v/Seyed Javadi",NA,0,0,NA,"Engdraget 61, 2500 Valby"
"4227","https://www.proff.dk/firma/insight-airchem/br%C3%B8nsh%C3%B8j/tekniske-konsulenter/0K0W9DI01OU/","Technical Consultants","Insight Airchem",NA,0,0,NA,"Brovænget 3, 2700 Brønshøj"
"4254","https://www.proff.dk/firma/fixit-vhenrik-chemnitz/kastrup/tekniske-konsulenter/0K5JD5I01OU/","Technical Consultants","fix&#39;it&quot; v/henrik chemnitz",NA,0,0,NA,"Magle Alle 7, 2770 Kastrup"
"4626","https://www.proff.dk/firma/chemtox-consult/aarhus-c/tekniske-konsulenter/0M4S7II01OU/","Technical Consultants","ChemTox Consult",NA,0,0,NA,"Mejlgade 105 04, 8000 Aarhus C"
"4852","https://www.proff.dk/firma/chemical-process-consulting/asperup/tekniske-konsulenter/0N615DI01OU/","Technical Consultants","Chemical Process Consulting",NA,0,0,NA,"Middelfartvej 2, 5466 Asperup"
"5481","https://www.proff.dk/firma/avichem-aps/skanderborg/tekniske-konsulenter/0KL7XMI01OU/","Technical Consultants","AVICHEM ApS",2012,4,1830000,399000,"Godthåbsvej 27, 8660 Skanderborg"
"7860","https://www.proff.dk/firma/fixit-vhenrik-chemnitz/kastrup/tekniske-konsulenter/GZ9Q07I01OU/","Technical Consultants","Fix&#39;it v/Henrik Chemnitz",NA,0,0,NA,"Magle Alle 7, 2770 Kastrup"
"8983","https://www.proff.dk/firma/chemtechnic-vbjarne-christensen/virum/tekniske-konsulenter/0IIVHBI01OU/","Technical Consultants","Chemtechnic v/Bjarne Christensen",NA,0,0,NA,"Virumgade 49 A, 2830 Virum"
"99281","https://www.proff.dk/firma/chemistrypharma-consult/kgs.-lyngby/tekniske-konsulenter/0NKP7MI01OU/","Technical Consultants","ChemistryPharma Consult",NA,0,0,NA,"Gyrithe Lemches Vej 5, 2800 Kgs. Lyngby"
"9948","https://www.proff.dk/firma/chemagenda/humleb%C3%A6k/tekniske-konsulenter/0NLY40I01OU/","Technical Consultants","ChemAgenda",NA,0,0,NA,"Lille Mosevej 13, 3050 Humlebæk"
"486","https://www.proff.dk/firma/klint-medical-aps/grenaa/tekniske-konsulenter/0OJAQ4I01OU/","Technical Consultants","KLINT MEDICAL ApS",2020,2,1881000,908000,"Noldervej 14, 8500 Grenaa"
"883","https://www.proff.dk/firma/medical-device-consult-aps/roskilde/tekniske-konsulenter/0IA0LAI01OU/","Technical Consultants","MEDICAL DEVICE CONSULT ApS",2007,1,797000,104000,"Brordrupvej 64, 4000 Roskilde"
"3132","https://www.proff.dk/firma/international-medico-consultants-vmark-krasnik/k%C3%B8benhavn-%C3%B8/tekniske-konsulenter/0A4VR2I01OU/","Technical Consultants","INTERNATIONAL MEDICO CONSULTANTS V/MARK KRASNIK",NA,0,0,NA,"Kastelsvej 17 3 tv, 2100 København Ø"
"3220","https://www.proff.dk/firma/steen-hoffmann-medicinsk-konsulentbistand/holte/tekniske-konsulenter/0B4F3UI01OU/","Technical Consultants","STEEN HOFFMANN - MEDICINSK KONSULENTBISTAND",NA,0,0,NA,"Kastanievej 1, 2840 Holte"
"3368","https://www.proff.dk/firma/medicinsk-illustration-vhenrik-juul-nielsen/k%C3%B8benhavn-%C3%B8/tekniske-konsulenter/0CSJ5AI01OU/","Technical Consultants","MEDICINSK ILLUSTRATION V/HENRIK JUUL NIELSEN",NA,0,0,NA,"Borgmester Jensens Allé 9 3 tv, 2100 København Ø"
"3527","https://www.proff.dk/firma/medicinsk-konsulenttjeneste-vhenning-bundgaard/holte/tekniske-konsulenter/0FN9UNI01OU/","Technical Consultants","Medicinsk Konsulenttjeneste v/Henning Bundgaard",NA,0,0,NA,"Mothsvej 25, 2840 Holte"
"3553","https://www.proff.dk/firma/medicomonitor-aps/fredensborg/tekniske-konsulenter/0FSA5YI01OU/","Technical Consultants","MEDICOMONITOR ApS",2002,NA,39000,50000,"Vilhelmsro 632, 3480 Fredensborg"
"4258","https://www.proff.dk/firma/medicflex-aps/k%C3%B8benhavn-v/tekniske-konsulenter/0K60BMI01OU/","Technical Consultants","MEDICFLEX ApS",2011,NA,0,0,"Sundevedsgade 2 3 tv, 1751 København V"
"4727","https://www.proff.dk/firma/mediccluster-aps/egtved/tekniske-konsulenter/0MLV3UI01OU/","Technical Consultants","MEDICCLUSTER ApS",2016,NA,39000,0,"Bavnehøj 201, 6040 Egtved"
"5397","https://www.proff.dk/firma/hapy-medical-aps/farum/tekniske-konsulenter/0NGCLRI01OU/","Technical Consultants","HAPY Medical ApS",2018,2,2461000,723000,"Trevangsvej 153, 3520 Farum"
"5439","https://www.proff.dk/firma/medicologic-as/k%C3%B8benhavn-s/tekniske-konsulenter/0FVZCPI01OU/","Technical Consultants","MEDICOLOGIC A/S",2002,3,2097000,1491000,"Arne Jacobsens Allé 15 2, 2300 København S"
"6402","https://www.proff.dk/firma/belair-medical-aps/risskov/tekniske-konsulenter/0F5T1WI01OU/","Technical Consultants","BELAIR MEDICAL ApS",2000,1,120000,-497000,"Stationsgade 4, 8240 Risskov"
"6621","https://www.proff.dk/firma/zarmo-medical-consulting-aps/fredericia/tekniske-konsulenter/08VRX5I01OU/","Technical Consultants","ZARMO MEDICAL CONSULTING ApS",1991,NA,19000,-79000,"Kampmannsvej 31, 7000 Fredericia"
"6726","https://www.proff.dk/firma/medico-kemiske-holding-aps/vedb%C3%A6k/tekniske-konsulenter/09AUYPI01OU/","Technical Consultants","Medico Kemiske Holding ApS",1991,NA,-324000,16638000,"Skelstedet 5, 2950 Vedbæk"
"7995","https://www.proff.dk/firma/medico-consult-vallan-staunstrup/frederiksberg-c/tekniske-konsulenter/0849TLI01OU/","Technical Consultants","Medico Consult v/Allan Staunstrup",NA,0,0,NA,"Engtoftevej 4 kl tv, 1816 Frederiksberg C"
"8534","https://www.proff.dk/firma/agnholt-medical-vj%C3%B8rgen-agnholt/aarhus-c/tekniske-konsulenter/0FQ46AI01OU/","Technical Consultants","Agnholt Medical v/Jørgen Agnholt",NA,0,0,NA,"Langelinieparken 16 2 th, 8000 Aarhus C"
"8543","https://www.proff.dk/firma/jacob-j%C3%B8nsen-medicinsk-konsulent/virum/tekniske-konsulenter/0FR09PI01OU/","Technical Consultants","Jacob Jønsen medicinsk konsulent",NA,0,0,NA,"Snebærvænget 19, 2830 Virum"
"8614","https://www.proff.dk/firma/benzonmedical/aller%C3%B8d/tekniske-konsulenter/0G3R4QI01OU/","Technical Consultants","BenzonMedical",NA,0,0,NA,"Kollerødvej 47, 3450 Allerød"
"9252","https://www.proff.dk/firma/medic-ouh-is/k%C3%B8benhavn-k/tekniske-konsulenter/0K81XQI01OU/","Technical Consultants","MEDIC OUH I/S",2018,NA,39000,39000,"Kanonbådsvej 4 B, 1437 København K"
"9281","https://www.proff.dk/firma/medicinsk-konsulent-jonas-baandrup/lystrup/tekniske-konsulenter/0KBPQ5I01OU/","Technical Consultants","Medicinsk konsulent Jonas Baandrup",NA,0,0,NA,"Bystævnet 5 B, 8520 Lystrup"
"9911","https://www.proff.dk/firma/medical-development/ebeltoft/tekniske-konsulenter/0NGX3EI01OU/","Technical Consultants","Medical Development",NA,0,0,NA,"Dråby Kirkevej 14, 8400 Ebeltoft"
"1","https://www.proff.dk/firma/ferring-pharmaceuticals-as/kastrup/bioteknologi/09PNJ4I0225/","Biotechnology","FERRING PHARMACEUTICALS A/S",1992,537,1051468000,52751000,"Amager Strandvej 405, 2770 Kastrup"
"2","https://www.proff.dk/firma/landbrug-f%C3%B8devarer-f.m.b.a./k%C3%B8benhavn-v/bioteknologi/0F76PLI0225/","Biotechnology","LANDBRUG &amp; FØDEVARER F.M.B.A.",1964,1351,5.89e+08,3.8e+07,"Axeltorv 3, 1609 København V"
"3","https://www.proff.dk/firma/roche-innovation-center-copenhagen-as/h%C3%B8rsholm/bioteknologi/0CBGIBI0225/","Biotechnology","ROCHE INNOVATION CENTER COPENHAGEN A/S",1998,64,274294000,166736000,"Fremtidsvej 3, 2970 Hørsholm"
"4","https://www.proff.dk/firma/zealand-pharma-as/s%C3%B8borg/bioteknologi/0BXMVQI0225/","Biotechnology","ZEALAND PHARMA A/S",1997,222,262749000,-839653000,"Sydmarken 11, 2860 Søborg"
"5","https://www.proff.dk/firma/nordic-bioscience-as/herlev/bioteknologi/0IC5EOI0225/","Biotechnology","NORDIC BIOSCIENCE A/S",2007,164,254960000,112156000,"Herlev Hovedgade 205, 2730 Herlev"
"6","https://www.proff.dk/firma/pentabase-as/odense-c/bioteknologi/0HZ8T8I0225/","Biotechnology","PENTABASE A/S",2007,168,199224000,184357000,"Petersmindevej 1 A, 5000 Odense C"
"7","https://www.proff.dk/firma/origio-as/m%C3%A5l%C3%B8v/bioteknologi/06J8F9I0225/","Biotechnology","ORIGIO A/S",1987,133,185823000,51375000,"Knardrupvej 2, 2760 Måløv"
"810","https://www.proff.dk/firma/azanta-danmark-as/valby/bioteknologi/0F1EYFI0225/","Biotechnology","AZANTA DANMARK A/S",2000,2,176299000,176747000,"Kirsten Walthers Vej 8 A 2, 2500 Valby"
"9","https://www.proff.dk/firma/gubra-aps/h%C3%B8rsholm/bioteknologi/0I60S9I0225/","Biotechnology","GUBRA ApS",2008,160,134886000,20340000,"Hørsholm Kongevej 11 B, 2970 Hørsholm"
"10","https://www.proff.dk/firma/bioneer-as/h%C3%B8rsholm/bioteknologi/0GBGQ9I0225/","Biotechnology","BIONEER A/S",2003,73,133577000,91880000,"Kogle Alle 2, 2970 Hørsholm"
"11","https://www.proff.dk/firma/vitrolife-as/viby-j/bioteknologi/0GBF7TI0225/","Biotechnology","VITROLIFE A/S",2003,91,130352000,73086000,"Jens Juuls Vej 20, 8260 Viby J"
"12","https://www.proff.dk/firma/glycom-as/h%C3%B8rsholm/bioteknologi/0GZ4CPI0225/","Biotechnology","GLYCOM A/S",2005,54,123707000,17484000,"Kogle Alle 4, 2970 Hørsholm"
"13","https://www.proff.dk/firma/y-mabs-therapeutics-as/h%C3%B8rsholm/bioteknologi/0M26SUI0225/","Biotechnology","Y-mAbs Therapeutics A/S",2015,97,82434000,-1202000,"Agern Alle 11, 2970 Hørsholm"
"14","https://www.proff.dk/firma/sophion-bioscience-as/ballerup/bioteknologi/05YSAXI0225/","Biotechnology","SOPHION BIOSCIENCE A/S",2000,45,98346000,45179000,"Baltorpvej 154, 2750 Ballerup"
"15","https://www.proff.dk/firma/nbcd-as/herlev/bioteknologi/0I7HKUI0225/","Biotechnology","NBCD A/S",2007,39,59689000,51715000,"Herlev Hovedgade 82, 2730 Herlev"
"16","https://www.proff.dk/firma/eurofins-genomics-europe-genotyping-as/galten/bioteknologi/05ZDPUI0225/","Biotechnology","Eurofins Genomics Europe Genotyping A/S",2000,123,40932000,14788000,"Smedeskovvej 38, 8464 Galten"
"17","https://www.proff.dk/firma/qiagen-aarhus-as/aarhus-c/bioteknologi/0GUOCFI0225/","Biotechnology","QIAGEN AARHUS A/S",2004,66,39485000,-40080000,"Silkeborgvej 2, 8000 Aarhus C"
"18","https://www.proff.dk/firma/evosep-aps/odense-c/bioteknologi/0MBYYCI0225/","Biotechnology","Evosep ApS",2016,28,36908000,21139000,"Buchwaldsgade 35 3, 5000 Odense C"
"19","https://www.proff.dk/firma/pharmaceutical-research-associates-denmark-aps/k%C3%B8benhavn-v/bioteknologi/0JSIC8I0225/","Biotechnology","PHARMACEUTICAL RESEARCH ASSOCIATES DENMARK ApS",2010,52,34746000,2637000,"Havneholmen 29, 1561 København V"
"20","https://www.proff.dk/firma/savara-aps/hellerup/bioteknologi/0METVNI0225/","Biotechnology","Savara ApS",2016,5,29197000,37538000,"Tuborg Boulevard 12 4, 2900 Hellerup"
"21","https://www.proff.dk/firma/minerva-imaging-aps/%C3%B8lstykke/bioteknologi/0KAEK2I0225/","Biotechnology","MINERVA IMAGING ApS",2011,62,28061000,12757000,"Lyshøjvej 21, 3650 Ølstykke"
"22","https://www.proff.dk/firma/inbicon-as/fredericia/bioteknologi/0G3HLNI0225/","Biotechnology","INBICON A/S",2003,NA,25651000,25646000,"Kraftværksvej 53, 7000 Fredericia"
"23","https://www.proff.dk/firma/immudex-aps/virum/bioteknologi/0INWXII0225/","Biotechnology","IMMUDEX ApS",2008,54,24389000,49000,"Bredevej 2 A, 2830 Virum"
"24","https://www.proff.dk/firma/syneos-health-denmark-aps/s%C3%B8borg/bioteknologi/0L33T2I0225/","Biotechnology","Syneos Health Denmark ApS",2013,25,22872000,1324000,"Knud Højgaards Vej 9, 2860 Søborg"
"25","https://www.proff.dk/firma/proxeon-biosystems-aps/roskilde/bioteknologi/0FZG2GI0225/","Biotechnology","PROXEON BIOSYSTEMS ApS",2002,NA,20729000,20078000,"Kamstrupvej 90, 4000 Roskilde"
"26","https://www.proff.dk/firma/vipergen-aps/k%C3%B8benhavn-v/bioteknologi/0H6E5QI0225/","Biotechnology","VIPERGEN ApS",2005,15,3128000,-6355000,"Gammel Kongevej 23 A 1, 1610 København V"
"27","https://www.proff.dk/firma/housetest-aps/odense-c/bioteknologi/0K5UQ6I0225/","Biotechnology","HOUSETEST ApS",2011,3,3053000,1242000,"Petersmindevej 1 A, 5000 Odense C"
"28","https://www.proff.dk/firma/next-stage-ventures-aps/humleb%C3%A6k/bioteknologi/0MC5XJI0225/","Biotechnology","Next Stage Ventures ApS",2016,3,2889000,17473000,"Gl Strandvej 250, 3050 Humlebæk"
"29","https://www.proff.dk/firma/toft-plantefor%C3%A6dling-aps/roslev/bioteknologi/0EYQO2I0225/","Biotechnology","TOFT PLANTEFORÆDLING ApS",1999,1,2741000,2609000,"Smedevej 1, 7870 Roslev"
"30","https://www.proff.dk/firma/bioscavenge-aps/g%C3%B8rlev/bioteknologi/0MVO7CI0225/","Biotechnology","BioScavenge ApS",2017,3,2620000,1319000,"Algade 2 D, 4281 Gørlev"
"31","https://www.proff.dk/firma/abtbioconsult-aps/hiller%C3%B8d/bioteknologi/0P83V8I0225/","Biotechnology","AbtBioConsult ApS",2021,1,2513000,-736000,"Lille Sverige Vej 7 A, 3400 Hillerød"
"32","https://www.proff.dk/firma/river-stone-biotech-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0NAMDLI0225/","Biotechnology","River Stone Biotech ApS",2017,23,2477000,-11939000,"Fruebjergvej 3, 2100 København Ø"
"33","https://www.proff.dk/firma/ranger-biotechnologies-as/odense-s%C3%B8/bioteknologi/0J7VPWI0225/","Biotechnology","Ranger Biotechnologies A/S",2009,10,2429000,0,"C.F. Tietgens Boulevard 30 A st th, 5220 Odense SØ"
"34","https://www.proff.dk/firma/immunaware-aps/h%C3%B8rsholm/bioteknologi/0NBYJ3I0225/","Biotechnology","immunAware ApS",2017,5,2395000,1473000,"Agern Alle 1, 2970 Hørsholm"
"35","https://www.proff.dk/firma/livag-aps/vedb%C3%A6k/bioteknologi/0NZ5PUI0225/","Biotechnology","LIVAG ApS",2019,1,2274000,112000,"Udsigten 9, 2950 Vedbæk"
"36","https://www.proff.dk/firma/cmcassist-aps/k%C3%B8benhavn-n/bioteknologi/0MJ9WTI0225/","Biotechnology","CMCassist ApS",2016,5,2245000,296000,"Ole Maaløes Vej 3, 2200 København N"
"37","https://www.proff.dk/firma/dhm-holding-as/k%C3%B8benhavn-%C3%B8/bioteknologi/070AP1I0225/","Biotechnology","DHM HOLDING A/S",1987,3,2181000,4868000,"Langelinie Allé 29 3 tv, 2100 København Ø"
"38","https://www.proff.dk/firma/2a-pharma-aps/aalborg-%C3%B8st/bioteknologi/0NGAR1I0225/","Biotechnology","2A Pharma ApS",2018,5,2096000,377000,"Niels Jernes Vej 10, 9220 Aalborg Øst"
"39","https://www.proff.dk/firma/desres-sub-denmark-aps/k%C3%B8benhavn-k/bioteknologi/0OPE8QI0225/","Biotechnology","DESRES SUB DENMARK ApS",2020,0,2052000,228000,"H.C. Andersens Boulevard 38 3 th, 1553 København V"
"40","https://www.proff.dk/firma/bainan-biotech-aps/k%C3%B8benhavn-n/bioteknologi/0NRAC4I0225/","Biotechnology","Bainan Biotech ApS",2018,6,1953000,-1063000,"Ole Maaløes Vej 3 3, 2200 København N"
"41","https://www.proff.dk/firma/biomodics-aps/kgs.lyngby/bioteknologi/0JKVU2I0225/","Biotechnology","BIOMODICS ApS",2010,2,1916000,-487000,"Stengårds Alle 31 A, 2800 Kgs.Lyngby"
"42","https://www.proff.dk/firma/biotest-facility-aps/trige/bioteknologi/0MLX7YI0225/","Biotechnology","Biotest Facility ApS",2016,7,1861000,22000,"Røvedvej 1, 8380 Trige"
"43","https://www.proff.dk/firma/bk-clinical-trials-consulting-ks/n%C3%A6rum/bioteknologi/0M3AZ0I0225/","Biotechnology","BK Clinical Trials Consulting K/S",2015,NA,1856000,1968000,"Hegnsvej 44, 2850 Nærum"
"44","https://www.proff.dk/firma/kim-andersen-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0OKSOHI0225/","Biotechnology","kim Andersen ApS",2020,NA,1825000,1890000,"Livjægergade 21 4 th, 2100 København Ø"
"45","https://www.proff.dk/firma/pond-as/aarhus-c/bioteknologi/0LV6ITI0225/","Biotechnology","pond A/S",2015,2,1796000,-2184000,"Balticagade 24, 8000 Aarhus C"
"46","https://www.proff.dk/firma/pipeline-bioresearch-aps/aarhus-c/bioteknologi/0MIV5JI0225/","Biotechnology","Pipeline Bioresearch ApS",2016,2,1612000,27000,"Marselisborg Havnevej 36, 8000 Aarhus C"
"47","https://www.proff.dk/firma/solsten-diagnostics-international-aps/aarhus-n/bioteknologi/0O2NM8I0225/","Biotechnology","Solsten Diagnostics International ApS",2019,7,1543000,-2810000,"Langdyssen 5, 8200 Aarhus N"
"48","https://www.proff.dk/firma/andstats-aps/frederiksberg/bioteknologi/0LV80FI0225/","Biotechnology","AndStats ApS",2015,1,1512000,1105000,"Aurikelvej 20, 2000 Frederiksberg"
"49","https://www.proff.dk/firma/dnasense-aps/aalborg-%C3%B8st/bioteknologi/0LGE85I0225/","Biotechnology","DNASENSE ApS",2014,5,1446000,-1382000,"Niels Jernes Vej 10, 9220 Aalborg Øst"
"50","https://www.proff.dk/firma/hyamedix-aps/k%C3%B8benhavn-n/bioteknologi/0NBPQTI0225/","Biotechnology","Hyamedix ApS",2017,3,1402000,-486000,"Ole Maaløes Vej 3, 2200 København N"
"51","https://www.proff.dk/firma/clirecon-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0INFTCI0225/","Biotechnology","CLIRECON ApS",2008,NA,630000,621000,"Øster Allé 56, 2100 København Ø"
"52","https://www.proff.dk/firma/anapa-biotech-as/h%C3%B8rsholm/bioteknologi/0GF8UNI0225/","Biotechnology","Anapa Biotech A/S",2004,1,526000,478000,"Venlighedsvej 6, 2970 Hørsholm"
"53","https://www.proff.dk/firma/immumap-services-aps/h%C3%B8rsholm/bioteknologi/0MQ422I0225/","Biotechnology","Immumap Services ApS",2016,3,521000,-1282000,"Agern Alle 3, 2970 Hørsholm"
"54","https://www.proff.dk/firma/defos-aps/slangerup/bioteknologi/0MWLDCI0225/","Biotechnology","Defos ApS",2017,NA,495000,72000,"Sct Jørgensvej 4, 3550 Slangerup"
"55","https://www.proff.dk/firma/sn-biotech-holding-aps/aarhus-c/bioteknologi/0FQ1UBI0225/","Biotechnology","SN BIOTECH HOLDING ApS",2001,NA,442000,325000,"Sandgravvej 6 st tv, 8000 Aarhus C"
"56","https://www.proff.dk/firma/sited2-aps/v%C3%A6rl%C3%B8se/bioteknologi/0NPQIPI0225/","Biotechnology","SiteD2 ApS",2018,NA,432000,432000,"Hareskovhvilevej 3, 3500 Værløse"
"57","https://www.proff.dk/firma/bee-patch-aps/lejre/bioteknologi/0IWXF0I0225/","Biotechnology","BEE-PATCH ApS",2008,1,375000,132000,"Nørregårdsvej 14, 4320 Lejre"
"58","https://www.proff.dk/firma/bifrost-biolabs-aps/glostrup/bioteknologi/0N1K75I0225/","Biotechnology","Bifrost Biolabs ApS",2017,2,370000,74000,"Smedeland 7 1, 2600 Glostrup"
"59","https://www.proff.dk/firma/zp-general-partner-1-aps/s%C3%B8borg/bioteknologi/0LO8H0I0225/","Biotechnology","ZP GENERAL PARTNER 1 ApS",2014,NA,0,NA,"Sydmarken 11, 2860 Søborg"
"60","https://www.proff.dk/firma/proxi-biotech-aps/frederiksberg/bioteknologi/0NQBKBI0225/","Biotechnology","PrOxi Biotech ApS",2018,2,337000,85000,"Egeskellet 6, 2000 Frederiksberg"
"61","https://www.proff.dk/firma/2n-pharma-aps/aalborg-%C3%B8st/bioteknologi/0OIEFRI0225/","Biotechnology","2N Pharma ApS",2020,9,336000,-249000,"Niels Jernes Vej 10, 9220 Aalborg Øst"
"62","https://www.proff.dk/firma/lica-pharmaceuticals-as/hellerup/bioteknologi/0F2YP4I0225/","Biotechnology","LICA PHARMACEUTICALS A/S",2000,NA,326000,1088000,"Tuborg Havnepark 2 1 tv, 2900 Hellerup"
"63","https://www.proff.dk/firma/vigilare-biotech-aps/vissenbjerg/bioteknologi/0OOW8KI0225/","Biotechnology","Vigilare Biotech ApS",2020,NA,325000,319000,"Lergyden 48, 5492 Vissenbjerg"
"64","https://www.proff.dk/firma/pure-algae-denmark-aps/grenaa/bioteknologi/0NP7E5I0225/","Biotechnology","Pure Algae Denmark ApS",2018,7,312000,-98000,"Havnecentervej 1, 8500 Grenaa"
"65","https://www.proff.dk/firma/kem-en-tec-development-licensing-as/taastrup/bioteknologi/0CHU3DI0225/","Biotechnology","KEM-EN-TEC DEVELOPMENT &amp; LICENSING A/S",1998,NA,310000,308000,"Kuldyssen 10, 2630 Taastrup"
"66","https://www.proff.dk/firma/epivizor-aps/silkeborg/bioteknologi/0NTC5JI0225/","Biotechnology","Epivizor ApS",2018,NA,301000,265000,"Langdalsparken 19, 8600 Silkeborg"
"67","https://www.proff.dk/firma/cell2cure-aps/birker%C3%B8d/bioteknologi/0NGIRBI0225/","Biotechnology","Cell2Cure ApS",2018,NA,295000,280000,"Kajerødgård 9, 3460 Birkerød"
"68","https://www.proff.dk/firma/kj-bio-as/hinnerup/bioteknologi/0O0VVSI0225/","Biotechnology","KJ Bio A/S",2019,1,262000,-3453000,"Skanderborgvej 193, 8382 Hinnerup"
"69","https://www.proff.dk/firma/methyl-detect-aps/aalborg-%C3%B8st/bioteknologi/0MTE15I0225/","Biotechnology","Methyl Detect ApS",2016,1,256000,-771000,"Niels Jernes Vej 10, 9220 Aalborg Øst"
"70","https://www.proff.dk/firma/smb-innovation-aps/roskilde/bioteknologi/0K5R1DI0225/","Biotechnology","SMB INNOVATION ApS",2011,NA,240000,227000,"Rørholm 12, 4000 Roskilde"
"71","https://www.proff.dk/firma/v-biotek-holding-aps/k%C3%B8benhavn-k/bioteknologi/0I69GZI0225/","Biotechnology","V-BIOTEK HOLDING ApS",2008,NA,239000,-519000,"Vimmelskaftet 43, 1161 København K"
"72","https://www.proff.dk/firma/bojesen-and-petersen-biotech-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0KNJ84I0225/","Biotechnology","BOJESEN AND PETERSEN BIOTECH ApS",2012,NA,193000,180000,"Strandboulevarden 23 st th, 2100 København Ø"
"73","https://www.proff.dk/firma/cph-proteomics-aps/br%C3%B8nsh%C3%B8j/bioteknologi/0MS7KWI0225/","Biotechnology","CPH Proteomics ApS",2016,NA,164000,156000,"Brovænget 29, 2700 Brønshøj"
"74","https://www.proff.dk/firma/microbial-data-analyses-aps/aarhus-c/bioteknologi/0NY8BWI0225/","Biotechnology","Microbial Data Analyses ApS",2019,NA,162000,160000,"Skt. Lucas Kirkeplads 8 st th, 8000 Aarhus C"
"75","https://www.proff.dk/firma/xy-therapeutics-aps/charlottenlund/bioteknologi/0OHCX5I0225/","Biotechnology","XY Therapeutics ApS",2020,2,153000,-3144000,"Rosenstandsvej 17 A, 2920 Charlottenlund"
"76","https://www.proff.dk/firma/cobo-scientific-aps/m%C3%A5l%C3%B8v/bioteknologi/0L2M0LI0225/","Biotechnology","COBO Scientific ApS",2013,NA,18000,16000,"Bækholmen 25, 2760 Måløv"
"77","https://www.proff.dk/firma/cleardynamic-aps/n%C3%B8rresundby/bioteknologi/0OF70VI0225/","Biotechnology","ClearDynamic ApS",2019,NA,11000,7000,"Spiesgade 3, 9400 Nørresundby"
